no_of_posts,following,followers,bio_len,picture,link,caption_len,caption_per,non_image,engage_like,engage_comm,location_tag_per,avg_hashtag_count,promotion_key,follower_key,cosine_similarity,post_interval,class
8,542,1400,0,1,0,69,0,0,18.93,0.76,0.75,2.375,0,0,0.019272,3337.664063,r
1,1,8,0,1,0,16,0,0,600,100,1,0,0,0,0,0,r
30,786,687,14,1,0,42,0,0.111,19.790001,0.92,0.722,0.556,0,0,0.049433,719.635071,r
56,471,662,62,1,0,136,0.085714,0.229,31.02,1.9,0.714,0.114,0,0,0.027498,690.566528,r
50,46,184,140,1,0,222,0,0,32.130001,2.78,0.944,1.056,0,0,0.375898,59.937191,r
25,546,177,96,1,0,133,0,0.278,26.75,1.84,0.944,1.611,0,0,0.127352,323.908295,r
9,853,771,22,1,0,54,0,0.222,13.56,0.6,0.778,0.111,0,0,0.024281,2466.27832,r
33,1100,697,138,1,0,22,0.277778,0.056,16.99,0.76,0.722,0.056,0,0.056,0.042043,319.80072,r
538,827,1400,152,1,0,193,0,0.278,12.68,0.95,0.667,1.222,0,0,0.071404,296.016052,r
6,105,35,184,1,0,54,0,0,20.16,0.95,0.667,1.333,0,0.5,0.027866,3592.217773,r
65,384,2700,145,1,0,98,0.055556,0.056,14.21,0.52,0.667,1.333,0,0,0.051034,644.586304,r
48,628,3900,86,1,0,273,0,0.167,28.629999,1.33,0.833,1.833,0,0,0.637168,594.337952,r
20,474,523,73,1,0,19,0.277778,0.167,31.4,0.73,0.667,0.833,0,0,0.110322,837.288635,r
35,471,630,167,1,0,124,0,0.111,15.19,0.88,0.833,1.222,0,0,0.029822,137.422043,r
1,151,500,0,1,0,9,0,0,37.75,1.32,1,0,0,0,0,0,r
21,441,2300,130,1,0,463,0,0.278,22.709999,1.75,0.833,1.333,0,0.056,0.435341,250.552521,r
136,375,339,166,1,0,437,0,0.111,15.45,1.33,0.889,2.5,0,0,0.45881,172.031967,r
9,48,111,120,1,0,209,0,0.333,19.209999,0.46,1,0.444,0,0,0.124589,163.763702,r
4,34,58,26,1,0,19,0.25,0,13.24,1.47,1,0,0,0,0.274854,130.07666,r
34,1300,564,107,1,0,224,0,0.111,28.719999,3.29,0.778,0.5,0,0.278,0.325429,1473.169556,r
342,1000,966,107,1,0,222,0,0.371,9.23,0.62,0.8,0.514,0,0.029,0.109138,233.503845,r
6,46,56,113,1,0,65,0,0.167,23.549999,1.81,1,1.5,0,0,0.666667,59.955601,r
632,375,515,22,1,0,54,0.111111,0.056,7.32,0.5,0.722,0.333,0,0.111,0.00814,147.834442,r
360,496,650,0,1,0,251,0,0,23.73,0.92,1,1.444,0,0,0.411459,1141.233398,r
23,736,740,74,1,0,79,0.055556,0,13.6,0.71,0.889,0.111,0,0,0.009472,765.512512,r
4,658,510,63,1,0,53,0,0,13.37,1.29,0.75,0,0,0,0,2266.737793,r
13,225,639,9,1,0,29,0.076923,0,20.1,3.25,0.846,0,0,0,0.117491,1961.97522,r
35,554,1500,154,1,0,61,0,0,16.190001,1.83,0.667,2,0,0.111,0.032513,508.177612,r
16,39,144,26,1,0,6,0.6875,0,16.35,2.08,0.75,0,0,0,0.460417,627.114502,r
209,658,621,42,1,0,51,0,0.222,22.139999,0.47,1,0.056,0,0.056,0.025901,517.42926,r
327,270,462,19,1,0,134,0,0.111,12.9,0.49,0.944,1.944,0,0,0.121102,588.570923,r
295,2200,608,18,1,0,246,0,0.278,8.02,0.87,0.722,0.056,0,0.056,0.087106,185.512192,r
7,100,9,26,1,0,123,0,0,89.709999,1,0.714,1.714,0,0.143,0.231515,50.214245,r
131,650,732,173,1,0,172,0,0.222,25.559999,2.3,0.667,1.722,0,0,0.066797,631.715332,r
37,1400,1400,135,1,0,326,0,0.222,16.73,0.79,0.944,0.222,0,0,0.068388,456.337433,r
58,1200,1700,102,1,0,62,0,0,33.75,1.7,0.889,0.889,0,0,0.026135,1082.8396,r
161,890,913,2,1,0,33,0.166667,0.333,23.91,0.46,0.778,0.056,0,0,0.023741,305.200958,r
145,79,70,102,1,0,60,0,0.333,16.32,0.84,0.889,3.056,0,0,0.040887,956.193359,r
55,667,535,37,1,0,41,0.166667,0.111,7.1,0.62,0.944,0.833,0,0,0.027738,439.584869,r
54,510,1500,0,1,0,46,0.055556,0.278,14.39,1.11,0.778,1.833,0,0,0.018894,1088.377563,r
38,697,3000,0,1,0,199,0,0.222,8.23,0.49,0.722,0.222,0,0,0.007804,720.55127,r
11,77,126,0,1,0,11,0.636364,0,14.29,1.3,0.909,0,0,0,0.394675,4801.772461,r
22,210,165,110,1,0,46,0.111111,0.222,28.1,1.27,0.833,0.111,0,0.111,0.034159,1272.811401,r
18,159,169,0,1,0,333,0,0.167,12.93,1.15,0.778,0.611,0,0,0.395653,271.77771,r
132,1100,2300,40,1,0,65,0,0.056,11.31,1.01,0.889,0.389,0,0,0.018875,418.593842,r
57,1200,1300,82,1,0,258,0,0.222,10.88,0.55,1,0.944,0,0,0.032088,771.605652,r
2,188,470,21,1,0,37,0,0,36.700001,1.06,1,1.5,0,0,0,1331.079224,r
49,237,809,218,1,0,91,0.055556,0.111,24.709999,1.45,0.944,0.444,0,0,0.023393,987.094788,r
169,492,814,96,1,0,101,0,0.333,16.530001,0.56,0.722,1.333,0,0.056,0.037287,225.354584,r
13,535,567,79,1,0,66,0,0.154,24.16,1.06,0.692,1.769,0,0,0.00932,1103.888306,r
75,647,2400,152,1,0,25,0.111111,0,8.12,0.46,0.722,0,0,0,0.033403,445.049866,r
17,248,1100,152,1,0,87,0,0.059,20.07,0.83,0.941,0.882,0,0,0.031291,693.584656,r
86,320,2500,15,1,0,114,0.388889,0,34.360001,2.12,0.778,0,0,0,0.114363,35.814754,r
15,2,240,38,1,0,6,0.6,0,226.669998,3.33,0.867,0,0,0,0.266667,175.789673,r
109,1200,436,177,1,0,323,0,0.111,16.059999,0.54,0.944,0.444,0,0,0.061646,227.878555,r
102,236,333,162,1,0,87,0,0,18.24,0.97,0.833,1.056,0,0.056,0.064967,393.69101,r
247,881,313,170,1,0,830,0,0.389,31.639999,1.52,1,1.667,0,0,0.496662,53.380169,r
15,114,181,92,1,0,53,0.133333,0,23.92,1.29,0.667,0.267,0,0,0.07921,765.198425,r
8,26,48,136,1,0,183,0,0,23.08,2.4,1,0.25,0,0.125,0.292808,21.343681,r
163,403,307,0,1,0,101,0.166667,0,8.2,1.21,0.722,1.278,0,0,0.036566,772.707336,r
4,362,1700,0,1,0,53,0.5,0.25,14.99,1.24,0.75,0.75,0,0,0.166667,10401.44141,r
34,609,1000,72,1,0,123,0.333333,0.222,10.17,1.23,0.722,0,0,0,0.144857,1832.251465,r
264,407,795,95,1,0,112,0,0.111,14.78,0.51,0.667,3.056,0,1,0.051989,659.836731,r
32,159,72,0,1,0,34,0.166667,0,8.56,0.52,0.833,0,0,0,0.035417,351.463928,r
1,347,879,0,1,0,39,0,0,16.709999,0.86,1,0,0,0,0,0,r
276,269,439,83,1,0,36,0.055556,0.222,18.129999,0.91,1,0.889,0,0,0.017666,258.387909,r
324,450,714,70,1,0,204,0,0.111,11.69,0.79,1,2.333,0,0,0.092657,564.786865,r
135,577,1600,113,1,0,64,0,0.278,13.47,1.02,0.667,0.667,0,0.056,0.017599,705.619995,r
104,324,479,59,1,0,16,0.222222,0,23.129999,0.63,0.833,0.167,0,0,0.039216,569.124023,r
201,1100,764,187,1,0,137,0,0.333,10.08,0.48,0.889,1.389,0,0,0.033485,559.704041,r
52,158,221,76,1,0,49,0,0.056,27.360001,1.65,1,1.167,0,0,0.145743,528.48114,r
35,867,785,121,1,0,348,0.388889,0.278,7.48,0.74,0.722,0,0,0,0.236396,1305.710083,r
2,286,508,0,1,0,16,0,0,15.21,0.52,1,0.5,0,0,0,59.070831,r
440,1800,934,67,1,0,79,0.166667,0.278,12.48,0.99,1,0,0,0,0.056348,388.46463,r
320,508,1100,138,1,0,87,0,0,10.63,0.49,0.889,0,0.056,0,0.189562,43.670013,r
6,426,1600,69,1,0,15,0.5,0,17.68,0.59,1,1,0,0,0.27698,1778.961548,r
242,712,1000,102,1,0,60,0,0.167,8.98,0.51,0.722,0.5,0.056,0,0.015753,912.155762,r
28,53,17,151,1,0,68,0,0.167,10.59,0.52,1,0.167,0,0,0.108102,4.401991,r
322,881,719,74,1,0,106,0.055556,0.111,8.56,0.54,0.722,0.278,0,0,0.015516,387.555939,r
15,74,15,118,1,0,330,0,0,33.240002,2.16,0.933,2.467,0,0,0.22699,398.49823,r
197,894,2500,147,1,0,154,0.055556,0,10.78,0.54,0.667,1.778,0,0.056,0.048979,871.642517,r
12,285,295,0,1,0,71,0.083333,0,19.969999,0.82,0.833,3.583,0,0,0.065899,430.913574,r
37,109,347,130,1,0,123,0,0.057,12.58,0.52,0.771,0.171,0,0,0.274007,498.663727,r
1,310,134,165,1,0,54,0,0,49.029999,0.97,1,1,0,0,0,0,r
35,477,332,13,1,0,64,0,0.111,16.709999,1,0.722,1.222,0,0,0.022036,1340.677612,r
73,1000,1100,2,1,0,58,0,0.389,20.809999,0.57,0.944,0,0,0.056,0.054549,165.332352,r
6,53,154,75,1,0,40,0,0,38.360001,2.52,1,1.667,0,0,0.033333,168.110687,r
68,694,549,98,1,0,63,0.166667,0.333,23.120001,0.84,0.778,0.778,0.056,0,0.026484,631.591064,r
19,209,399,22,1,0,50,0,0.333,19.190001,0.85,0.833,0.833,0,0,0.020364,1130.246582,r
12,646,809,7,1,0,175,0.25,0,14.5,0.57,0.75,0,0,0,0.055208,2551.415283,r
313,597,528,112,1,0,128,0,0.056,7.69,0.81,1,0.667,0,0,0.052319,512.373779,r
23,1100,859,84,1,0,42,0,0,22.709999,0.8,0.833,0.278,0,0.111,0.021521,1120.01709,r
6,63,110,0,1,0,50,0,0,16.67,1.85,0.667,0.667,0,0,0.039105,391.815979,r
32,127,494,100,1,0,121,0,0,14.79,1.18,1,0.778,0,0,0.031804,151.795578,r
3,430,231,52,1,0,55,0,0,14.42,2.56,0.667,0,0,0,0,161.079437,r
2,74,243,62,1,0,33,0,0,19.59,1.35,1,0,0,0,0,1475.62561,r
4,622,2400,138,0,0,23,0.25,0.25,10.33,0.6,1,1,0,0,0.090423,1806.053223,r
19,870,564,0,1,0,19,0.166667,0.333,22.059999,0.93,0.722,0.278,0,0,0.002668,1052.696411,r
75,784,916,184,1,0,190,0.055556,0.333,12,0.94,1,0.278,0,0,0.124439,1326.759277,r
40,509,595,12,1,0,54,0.055556,0.056,12.99,1.15,0.667,4.056,0,0,0.012916,2243.52124,r
57,452,433,9,1,0,31,0.055556,0.167,18.360001,0.7,0.722,0.167,0,0,0.021237,384.303253,r
89,143,149,0,1,0,56,0,0,8.51,0.74,0.667,0.444,0,0,0.051867,850.186829,r
2,1200,1600,88,1,0,43,0,0,21.92,0.79,1,0,0,0,0,71.951805,r
141,1000,523,43,1,0,63,0,0.278,9.32,0.47,1,1.333,0,0,0.168329,402.837677,r
166,1100,2100,98,1,0,92,0,0.389,10.85,0.7,0.944,0.444,0,0,0.144383,585.392395,r
35,321,482,81,1,0,221,0,0,12.65,0.9,0.944,2.667,0,0,0.108705,87.847565,r
50,924,673,43,1,0,56,0,0,12.2,0.65,0.944,0.056,0,0,0.019161,1028.997681,r
294,741,668,0,1,0,55,0,0.056,9.18,0.76,0.667,1.389,0,0.056,0.0135,473.088776,r
86,394,2500,167,1,0,115,0,0.056,9.4,0.62,0.778,0.056,0,0.056,0.062943,370.310669,r
69,307,605,92,1,0,73,0.055556,0.167,8.74,0.51,0.889,1.833,0.056,0,0.144982,162.561508,r
15,1200,1900,102,1,0,91,0,0.067,14.59,0.51,0.933,1.133,0,0,0.033542,469.325928,r
23,334,468,0,1,0,102,0.055556,0.222,13.04,0.82,0.667,1.222,0,0,0.169197,992.908508,r
44,551,462,79,1,0,84,0,0.278,11.27,0.53,0.722,0.722,0,0,0.037108,605.569397,r
28,166,230,135,1,0,664,0,0.111,24.059999,1,0.944,1.056,0,0,0.6007,689.201965,r
11,700,996,76,1,0,29,0.181818,0.273,14.09,1.12,0.818,0.273,0,0,0.005151,457.973419,r
48,1200,921,31,1,0,149,0,0,20.18,1.82,0.778,0,0,0,0.014002,1002.561707,r
250,896,856,82,1,0,34,0.222222,0.389,15.82,0.69,0.944,0,0,0,0.055283,150.525345,r
61,2100,3000,143,1,0,100,0,0,8.53,0.5,0.944,0,0,0.056,0.103908,474.4104,r
4,52,39,103,1,0,101,0,0.25,43.75,3.37,0.75,1,0,0,0.188468,28.815277,r
8,252,313,53,1,0,36,0.25,0.125,18.9,0.74,0.875,0,0,0,0.063037,776.991638,r
141,496,355,27,1,0,91,0.111111,0.167,21.190001,0.81,0.889,0.333,0,0,0.021972,191.730087,r
49,1100,1100,27,1,0,118,0,0,10.33,1.16,0.667,0.333,0,0.056,0.028283,1112.296753,r
1,60,146,30,1,0,27,0,0,40,15,1,1,0,0,0,0,r
28,359,930,17,1,0,22,0.277778,0.111,10.72,1.3,0.722,0.056,0,0,0.070982,308.147614,r
59,269,910,151,1,0,233,0,0,10.97,0.78,1,1,0,0,0.171762,54.646713,r
9,900,983,25,1,0,25,0.111111,0,20.459999,0.53,0.667,0.556,0,0,0.006211,2820.9729,r
571,841,534,146,1,0,628,0,0,10.05,0.55,0.944,2.222,0,0,0.495647,98.463409,r
280,435,516,186,1,0,521,0,0,16.639999,0.74,1,3.889,0,0,0.234919,783.067261,r
15,1500,645,2,1,0,33,0.066667,0.333,14.65,0.6,0.8,0.2,0,0,0.010447,2280.110596,r
38,331,448,170,1,0,47,0,0.111,12.55,1.9,0.889,0.278,0,0,0.044214,83.976959,r
17,1200,1200,303,1,0,92,0.352941,0.118,11.71,0.99,0.647,0.529,0,0,0.193696,2386.150391,r
214,173,277,26,1,0,74,0.111111,0.111,8.83,0.51,0.944,1.722,0,0,0.048329,191.221909,r
7,371,295,73,1,0,13,0.285714,0.143,20.450001,1.31,0.857,0,0,0,0.047619,2621,r
87,731,575,0,1,0,104,0.111111,0.056,9.99,0.93,0.944,1.611,0,0,0.018711,1087.388916,r
58,297,705,0,1,0,29,0.277778,0.333,16.629999,1.57,0.833,0,0,0,0.08007,191.888519,r
866,217,509,5,1,0,62,0.166667,0.167,11.16,0.64,0.944,1.889,0,0,0.025553,407.790283,r
1,17,6,38,1,0,55,0,0,64.709999,5.88,1,4,0,0,0,0,r
35,121,110,62,1,0,265,0,0,15.93,0.51,0.667,1.056,0,0.056,0.239666,60.45966,r
125,613,608,33,1,0,54,0.055556,0.222,28.290001,0.66,0.944,0.278,0,0,0.047427,1136.032349,r
25,480,806,50,1,0,57,0.055556,0.167,11.68,0.49,0.944,0.667,0,0,0.097732,581.421692,r
114,114,143,38,1,0,145,0,0.222,13.4,1.02,1,0.611,0,0,0.042342,372.48819,r
131,754,1200,161,1,0,289,0,0.222,8.08,0.66,0.722,2.611,0,0,0.138985,490.436951,r
104,484,756,101,1,0,43,0.166667,0.333,10.27,0.86,0.667,0.667,0,0,0.034175,259.479309,r
10,202,402,70,1,0,51,0,0.2,35.84,3.66,0.9,0.8,0,0,0.019555,539.808655,r
3,34,14,0,1,0,142,0,0,24.51,1.96,0.667,5.667,0,0,0.083321,120.372963,r
91,377,455,0,1,0,49,0,0,27.309999,1.3,0.833,1.278,0,0,0.021572,1270.364014,r
3,20,229,0,1,0,222,0.333333,0,261.670013,33.330002,0.667,8.667,0,0,0.07127,2086.378174,r
310,967,1200,61,1,0,93,0.055556,0.278,12.54,0.8,0.833,0.611,0,0,0.056465,346.924927,r
56,500,699,42,1,0,105,0.055556,0,25.280001,1.61,0.778,0.389,0,0.056,0.041874,947.319275,r
251,1100,937,0,1,0,176,0.166667,0.333,18.41,1.04,0.778,1.722,0,0,0.061943,582.500488,r
6,107,139,28,1,0,23,0.166667,0.167,32.09,8.26,0.833,0.833,0,0,0.014907,1684.694336,r
9,392,1300,45,1,0,27,0.222222,0,22.280001,1.59,0.667,0.111,0,0,0.04483,2338.963379,r
26,401,999,100,1,0,77,0.111111,0.278,15.71,1.37,0.889,0.889,0,0.056,0.011864,910.258484,r
8,143,68,0,1,0,11,0.5,0,13.99,1.22,0.875,0.125,0,0,0.228866,7730.365234,r
123,93,317,20,1,0,275,0.055556,0,81.839996,5.08,1,2.611,0,0.111,0.318843,289.391083,r
40,670,484,106,1,0,156,0.055556,0.111,25.49,0.88,0.778,1.722,0,0.111,0.026566,820.508789,r
21,595,604,21,1,0,86,0.166667,0.222,27.059999,1.6,0.889,0.111,0,0,0.029728,946.481873,r
21,799,386,14,1,0,69,0.055556,0,12.65,0.79,0.778,0.167,0,0,0.009417,535.564209,r
42,357,274,20,1,0,108,0.055556,0.167,21.34,0.82,0.778,0.222,0,0,0.020308,704.434265,r
3,1100,711,61,1,0,31,0,0,13.3,0.52,1,0,0,0,0.099381,1561.968994,r
9,419,987,201,1,0,155,0,0,19.700001,0.53,0.778,4.222,0,0,0.10408,1214.803345,r
113,621,641,154,1,0,210,0.555556,0.111,21.85,1.22,0.722,0,0,0,0.317613,999.069641,r
7,513,2100,19,1,0,22,0.285714,0.286,14.04,0.72,0.714,0.286,0,0,0,223.599243,r
65,734,951,16,1,0,170,0,0,24.17,3.91,1,1.167,0,0,0.255447,529.202209,r
127,88,206,80,1,0,136,0,0.222,20.01,0.88,1,1.667,0,0,0.037529,355.664551,r
41,269,543,90,1,0,80,0.166667,0,25.92,5.25,0.833,0,0,0,0.071037,847.763428,r
47,432,2200,157,1,0,129,0.055556,0.167,12.59,1.12,1,1.111,0,0,0.087076,815.707397,r
13,1000,1000,3,1,0,20,0.076923,0.231,18.85,0.76,0.846,0.077,0,0,0.003022,1344.115967,r
34,732,717,47,1,0,35,0,0.167,25.41,1.09,0.944,0.222,0,0,0.02121,474.778198,r
274,542,603,54,1,0,26,0,0,10.98,0.51,0.944,0.5,0,0,0.04859,444.923706,r
205,1100,447,104,1,0,73,0.111111,0.111,16.280001,0.7,0.667,1.722,0,0,0.011788,224.187988,r
2,1200,5900,149,1,0,62,0,0,11.58,2.21,1,0,0,0,0,2437.931397,r
145,188,1800,150,1,0,19,0.111111,0.333,8.48,0.65,0.667,0.056,0,0,0.008224,159.751328,r
30,253,898,59,1,0,16,0.5,0.333,19.48,0.55,0.722,0,0,0,0.242921,261.421753,r
7,883,439,83,1,0,53,0.142857,0.286,14.67,0.84,1,0.286,0,0,0.002882,3284.675293,r
201,456,3600,93,1,0,220,0,0.278,14.14,1.85,0.889,1.556,0,0,0.147578,446.654022,r
56,554,255,111,1,0,130,0.111111,0.056,12.95,1,0.889,0.278,0,0,0.04685,734.050903,r
81,360,277,0,1,0,54,0.055556,0,17.76,0.63,0.778,0.111,0,0,0.04886,364.382813,r
2,46,4,137,1,0,90,0,0,25,1.09,1,0,0,0.5,0.096225,0.057222,r
49,72,39,0,1,0,181,0.055556,0,8.18,1,0.889,0.111,0,0,0.117562,87.704796,r
91,679,669,0,1,0,40,0,0.278,16.18,0.51,0.944,0.389,0,0,0.007696,1047.564087,r
1,50,202,0,1,0,0,1,0,26,2,1,0,0,0,0,0,r
760,620,583,183,1,0,64,0.388889,0,10.74,1.58,0.889,0.167,0,0,0.189974,1070.816894,r
506,581,368,28,1,0,55,0,0.056,11.32,1.17,0.722,0.778,0,0,0.016767,911.35376,r
59,194,477,191,1,0,95,0,0.056,13.03,0.63,1,2.389,0,0,0.079659,740.938477,r
72,77,296,168,1,0,139,0,0.111,56.57,0.58,0.667,0.167,0,0.056,0.274327,19.837423,r
8,2200,1200,7,1,0,61,0.125,0,17.799999,0.54,0.875,1,0,0,0,2010.148315,r
35,238,511,0,1,0,45,0.166667,0.222,14.29,0.75,0.889,0,0,0.056,0.029207,359.709564,r
9,227,413,73,1,0,19,0.111111,0.111,22.809999,2.1,0.778,0,0,0,0,1317.793945,r
48,542,298,79,1,0,43,0,0.222,15.15,0.79,0.944,0.056,0,0.111,0.006331,140.537628,r
13,67,59,43,1,0,25,0.384615,0.385,9.3,0.92,1,0.077,0,0,0.129596,648.045166,r
174,878,6000,169,1,0,175,0,0.444,13.76,0.73,1,2.056,0,0,0.105134,533.926025,r
13,1300,297,35,1,0,34,0,0.231,28.99,0.55,0.692,0.231,0,0,0.016034,1763.124878,r
14,93,248,32,1,0,45,0.071429,0.357,50,4.53,0.857,0.143,0,0,0.030474,399.128021,r
63,453,601,0,1,0,36,0,0.333,12.89,1.21,0.722,1.444,0,0,0.00845,392.062042,r
5,26,78,104,1,0,210,0,0.2,73.849998,0.77,0.8,4.6,0,0.4,0.30984,48.080276,r
3,492,380,61,1,0,96,0,0.333,26.76,5.35,1,0.333,0,0,0.018349,3958.160156,r
100,1100,1400,114,1,0,202,0,0.056,13.59,0.5,0.833,0.722,0,0.056,0.146145,1041.884399,r
210,486,821,98,1,0,120,0,0.167,9.55,0.59,0.944,1.167,0.056,0,0.135979,221.064072,r
22,917,7500,0,1,0,277,0,0.167,19.299999,0.81,0.889,0.556,0,0,0.199709,961.147217,r
9,792,4900,0,1,0,14,0.555556,0.222,16.65,0.67,0.778,0,0,0,0.277778,393.057312,r
4,195,282,0,1,0,12,0.5,0.25,16.280001,0.51,1,0,0,0,0.166667,4790.428711,r
175,458,440,0,1,0,68,0.055556,0,16.639999,1.16,0.778,3.389,0,0,0.07523,799.618469,r
53,382,231,99,1,0,38,0.055556,0.167,11.5,0.9,1,0.222,0,0.056,0.031066,636.152893,r
142,860,652,38,1,0,104,0,0.333,14.91,0.59,0.833,1.333,0,0,0.157603,459.074158,r
8,225,261,0,1,0,4,0.75,0.125,24.219999,2.61,1,0,0,0,0.535714,945.775757,r
152,397,507,5,1,0,160,0,0.056,11.25,0.7,0.667,0.944,0,0,0.030377,271.805664,r
20,634,1500,84,1,0,77,0,0.111,13.14,0.5,0.722,0.278,0,0.056,0.036079,623.230408,r
3,31,107,0,1,0,129,0,0.333,60.220001,4.3,1,7.667,0,3.333,0.470509,1.827685,r
30,522,2700,18,1,0,10,0.444444,0.111,8.04,0.98,0.722,0,0,0,0.183007,1184.671143,r
1,44,61,0,1,0,62,0,0,52.27,11.36,1,1,0,0,0,0,r
38,996,895,63,1,0,19,0,0.111,26.33,0.88,1,0,0,0.056,0.002017,561.118042,r
58,228,245,0,1,0,228,0,0.278,10.45,1.15,1,0.944,0,0,0.06137,732.858215,r
17,147,581,126,1,0,422,0,0.235,26.49,2.16,0.941,0.118,0.059,0,0.1912,17.899084,r
466,412,597,49,1,0,170,0,0,14.7,0.82,0.889,1.667,0,1.111,0.308986,554.627014,r
201,2100,5200,103,1,0,43,0.166667,0.333,12.17,0.84,0.667,0,0,0,0.006314,545.40155,r
12,412,510,33,1,0,36,0.166667,0.083,14,0.97,0.667,0.417,0,0,0.022978,2647.699951,r
38,44,228,103,1,0,117,0,0.167,33.459999,1.52,0.778,2.389,0,0,0.225693,98.904533,r
1,331,529,0,1,0,0,1,0,24.77,5.14,1,0,0,0,0,0,r
74,1500,457,240,1,0,30,0.111111,0.222,13.83,1.21,0.667,0.056,0,0,0.00452,202.977448,r
88,727,724,160,1,0,126,0,0,16.17,0.59,0.889,1.222,0,0,0.059358,467.983063,r
146,602,546,51,1,0,268,0,0.111,17.01,0.93,0.889,0.556,0,0,0.135825,558.506897,r
101,814,787,72,1,0,227,0,0.056,17.92,0.52,0.944,0.222,0,0,0.031526,1258.660889,r
1,9,15,37,1,0,94,0,0,44.439999,11.11,1,0,0,0,0,0,r
435,1100,774,130,1,0,438,0,0,12.46,0.85,0.833,1.167,0,0,0.04081,335.909943,r
2,74,64,61,1,0,15,0,0,29.73,4.73,1,0.5,0,0,0,826.822205,r
3,143,881,25,1,0,7,0.333333,0,47.790001,2.33,1,0.333,0,0,0,884.365662,r
6,409,620,37,1,0,29,0.166667,0.167,27.950001,1.47,1,0,0,0,0,553.373413,r
